Realm,Region
Bazaar of Forgotten Wishes,Southern Coast
Cavern of the Forty Echoes,Eastern Highlands
Citadel of Seven Veils,Northern Sands
Coast of the Enchanted Compass,Southern Coast
Delta of the Painted Serpent,Southern Coast
Dune of a Thousand Mirages,Northern Sands
Garden of the Midnight Rose,Western Isles
Grove of the Singing Palms,Western Isles
Highlands of the Ember Djinn,Eastern Highlands
Isle of the Roc's Nest,Western Isles
Kingdom of the Turquoise Veil,Northern Sands
Minaret of the Wandering Star,Eastern Highlands
Oasis of Whispering Sands,Northern Sands
Oasis of the Marid's Tears,Northern Sands
Palisade of the Golden Ifrit,Eastern Highlands
Peak of the Sleeping Djinn,Eastern Highlands
Reef of the Drowned Lamp,Western Isles
Sands of the Whispering Scroll,Northern Sands
Straits of the Bottled Storm,Southern Coast
Sultanate of the Amber Dunes,Northern Sands
Vale of the Copper Moon,Eastern Highlands
Wellspring of Silver Sands,Northern Sands
